,first_row_left,first_row_middle,first_row_right,center_row_left,center_row_middle,center_row_right,bottom_row_left,bottom_row_middle,bottom_row_right,is_win
0,x,x,x,x,o,o,o,x,o,positive
1,x,x,x,x,o,o,o,o,x,positive
2,x,x,x,x,o,o,o,b,b,positive
3,x,x,x,x,o,o,b,o,b,positive
4,x,x,x,x,o,o,b,b,o,positive
5,x,x,x,x,o,b,o,o,b,positive
6,x,x,x,x,o,b,o,b,o,positive
7,x,x,x,x,o,b,b,o,o,positive
8,x,x,x,x,b,o,o,o,b,positive
9,x,x,x,x,b,o,o,b,o,positive
10,x,x,x,x,b,o,b,o,o,positive
11,x,x,x,o,x,o,x,o,o,positive
12,x,x,x,o,x,o,o,x,o,positive
13,x,x,x,o,x,o,o,o,x,positive
14,x,x,x,o,x,o,o,b,b,positive
15,x,x,x,o,x,o,b,o,b,positive
16,x,x,x,o,x,o,b,b,o,positive
17,x,x,x,o,x,b,o,o,b,positive
18,x,x,x,o,x,b,o,b,o,positive
19,x,x,x,o,x,b,b,o,o,positive
20,x,x,x,o,o,x,x,o,o,positive
21,x,x,x,o,o,x,o,x,o,positive
22,x,x,x,o,o,x,o,o,x,positive
23,x,x,x,o,o,x,o,b,b,positive
24,x,x,x,o,o,x,b,o,b,positive
25,x,x,x,o,o,x,b,b,o,positive
26,x,x,x,o,o,b,x,o,b,positive
27,x,x,x,o,o,b,x,b,o,positive
28,x,x,x,o,o,b,o,x,b,positive
29,x,x,x,o,o,b,o,b,x,positive
30,x,x,x,o,o,b,b,x,o,positive
31,x,x,x,o,o,b,b,o,x,positive
32,x,x,x,o,o,b,b,b,b,positive
33,x,x,x,o,b,x,o,o,b,positive
34,x,x,x,o,b,x,o,b,o,positive
35,x,x,x,o,b,x,b,o,o,positive
36,x,x,x,o,b,o,x,o,b,positive
37,x,x,x,o,b,o,x,b,o,positive
38,x,x,x,o,b,o,o,x,b,positive
39,x,x,x,o,b,o,o,b,x,positive
40,x,x,x,o,b,o,b,x,o,positive
41,x,x,x,o,b,o,b,o,x,positive
42,x,x,x,o,b,o,b,b,b,positive
43,x,x,x,o,b,b,x,o,o,positive
44,x,x,x,o,b,b,o,x,o,positive
45,x,x,x,o,b,b,o,o,x,positive
46,x,x,x,o,b,b,o,b,b,positive
47,x,x,x,o,b,b,b,o,b,positive
48,x,x,x,o,b,b,b,b,o,positive
49,x,x,x,b,x,o,o,o,b,positive
50,x,x,x,b,x,o,o,b,o,positive
51,x,x,x,b,x,o,b,o,o,positive
52,x,x,x,b,o,x,o,o,b,positive
53,x,x,x,b,o,x,o,b,o,positive
54,x,x,x,b,o,x,b,o,o,positive
55,x,x,x,b,o,o,x,o,b,positive
56,x,x,x,b,o,o,x,b,o,positive
57,x,x,x,b,o,o,o,x,b,positive
58,x,x,x,b,o,o,o,b,x,positive
59,x,x,x,b,o,o,b,x,o,positive
60,x,x,x,b,o,o,b,o,x,positive
61,x,x,x,b,o,o,b,b,b,positive
62,x,x,x,b,o,b,x,o,o,positive
63,x,x,x,b,o,b,o,x,o,positive
64,x,x,x,b,o,b,o,o,x,positive
65,x,x,x,b,o,b,o,b,b,positive
66,x,x,x,b,o,b,b,o,b,positive
67,x,x,x,b,o,b,b,b,o,positive
68,x,x,x,b,b,o,x,o,o,positive
69,x,x,x,b,b,o,o,x,o,positive
70,x,x,x,b,b,o,o,o,x,positive
71,x,x,x,b,b,o,o,b,b,positive
72,x,x,x,b,b,o,b,o,b,positive
73,x,x,x,b,b,o,b,b,o,positive
74,x,x,x,b,b,b,o,o,b,positive
75,x,x,x,b,b,b,o,b,o,positive
76,x,x,x,b,b,b,b,o,o,positive
77,x,x,o,x,x,o,o,o,x,positive
78,x,x,o,x,o,x,x,o,o,positive
79,x,x,o,x,o,o,x,o,x,positive
80,x,x,o,x,o,o,x,b,b,positive
81,x,x,o,x,o,b,x,o,b,positive
82,x,x,o,x,o,b,x,b,o,positive
83,x,x,o,x,b,o,x,o,b,positive
84,x,x,o,x,b,b,x,o,o,positive
85,x,x,o,o,x,x,o,x,o,positive
86,x,x,o,o,x,x,o,o,x,positive
